#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
10	NM_001202406	chr19	+	9434447	9454521	9434854	9453744	6	9434447,9435370,9449169,9449868,9451777,9452370,	9434904,9435456,9449258,9449995,9451860,9454521,	0	ZNF559	cmpl	cmpl	0,2,1,0,1,0,
10	NM_001202407	chr19	+	9434447	9454521	9449961	9453744	6	9434447,9435370,9443690,9449868,9451777,9452370,	9434904,9435456,9443789,9449995,9451860,9454521,	0	ZNF559	cmpl	cmpl	-1,-1,-1,0,1,0,
10	NM_001202408	chr19	+	9434447	9454521	9434854	9452304	6	9434447,9435370,9449169,9449868,9451777,9452292,	9434904,9435456,9449258,9449995,9451860,9454521,	0	ZNF559	cmpl	cmpl	0,2,1,0,1,0,
10	NM_001202409	chr19	+	9434447	9454521	9448665	9452304	7	9434447,9435370,9448471,9449169,9449868,9451777,9452292,	9434904,9435456,9448693,9449258,9449995,9451860,9454521,	0	ZNF559	cmpl	cmpl	-1,-1,0,1,0,1,0,
10	NM_001202410	chr19	+	9434447	9454521	9449225	9452304	7	9434447,9435370,9448471,9449169,9449868,9451777,9452292,	9434904,9435456,9448541,9449258,9449995,9451860,9454521,	0	ZNF559	cmpl	cmpl	-1,-1,-1,0,0,1,0,
10	NM_001202411	chr19	+	9434447	9454521	9449225	9452304	7	9434447,9435370,9443690,9449169,9449868,9451777,9452292,	9434904,9435456,9443789,9449258,9449995,9451860,9454521,	0	ZNF559	cmpl	cmpl	-1,-1,-1,0,0,1,0,
10	NM_032497	chr19	+	9434447	9454521	9449225	9453744	7	9434447,9435370,9448471,9449169,9449868,9451777,9452370,	9434904,9435456,9448534,9449258,9449995,9451860,9454521,	0	ZNF559	cmpl	cmpl	-1,-1,-1,0,0,1,0,
10	NM_001202412	chr19	+	9434901	9454521	9449225	9452304	7	9434901,9435370,9448471,9449169,9449868,9451777,9452292,	9435080,9435456,9448534,9449258,9449995,9451860,9454521,	0	ZNF559	cmpl	cmpl	-1,-1,-1,0,0,1,0,
10	NM_001172650	chr19	+	9434901	9493293	9488987	9492453	12	9434901,9435370,9449169,9466332,9468503,9475537,9486991,9488934,9489637,9490202,9490732,9491823,	9435080,9435456,9449258,9466397,9468580,9475624,9487099,9489020,9489764,9490295,9490815,9493293,	0	ZNF559-ZNF177	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
10	NM_001202425	chr19	+	9435370	9493293	9488987	9491291	9	9435370,9475537,9482285,9486991,9488934,9489637,9490202,9490732,9491264,	9435456,9475624,9482428,9487099,9489020,9489764,9490295,9490815,9493293,	0	ZNF559-ZNF177	cmpl	cmpl	-1,-1,-1,-1,0,0,1,1,0,
655	NM_001004456	chr19	+	9203920	9204862	9203920	9204862	1	9203920	9204862	0	OR1M1	cmpl	cmpl	0
655	NM_001005193	chr19	-	9212944	9213982	9212944	9213982	1	9212944	9213982	0	OR7G2	cmpl	cmpl	0
655	NM_001005192	chr19	-	9225503	9226439	9225503	9226439	1	9225503	9226439	0	OR7G1	cmpl	cmpl	0
655	NM_001001958	chr19	-	9236687	9237626	9236687	9237626	1	9236687	9237626	0	OR7G3	cmpl	cmpl	0
655	NM_001190791	chr19	+	9251055	9274091	9266692	9272109	6	9251055,9266600,9267287,9267943,9269501,9270789,	9251268,9266717,9267424,9268070,9269584,9274091,	0	ZNF317	cmpl	cmpl	-1,0,1,0,1,0,
655	NM_020933	chr19	+	9251055	9274091	9266692	9272109	7	9251055,9266600,9267287,9267943,9268655,9269501,9270789,	9251268,9266717,9267424,9268070,9268751,9269584,9274091,	0	ZNF317	cmpl	cmpl	-1,0,1,0,1,1,0,
655	NR_102435	chr19	+	9251055	9274091	9274091	9274091	7	9251055,9266600,9267287,9267943,9268509,9269501,9270789,	9251268,9266717,9267424,9268070,9268751,9269584,9274091,	0	ZNF317	unk	unk	-7
655	NM_175883	chr19	+	9296269	9299493	9296457	9297396	1	9296269	9299493	0	OR7D2	cmpl	cmpl	0
656	NM_198535	chr19	-	9401815	9420390	9406150	9415795	6	9401815,9407971,9408555,9413053,9415747,9420025,	9407609,9408155,9408666,9413180,9415800,9420390,	0	ZNF699	cmpl	cmpl	2,1,1,0,0,-1,
656	NM_001005191	chr19	-	9324525	9325547	9324574	9325513	1	9324525	9325547	0	OR7D4	cmpl	cmpl	0
656	NM_001079935	chr19	+	9361719	9362739	9361719	9362739	1	9361719	9362739	0	OR7E24	cmpl	cmpl	0
657	NM_003451	chr19	+	9473695	9493293	9488987	9492453	9	9473695,9475537,9482285,9486991,9488934,9489637,9490202,9490732,9491823,	9473760,9475624,9482428,9487099,9489020,9489764,9490295,9490815,9493293,	0	ZNF177	cmpl	cmpl	-1,-1,-1,-1,0,0,1,1,0,
657	NM_001172651	chr19	+	9486991	9493293	9488987	9492453	6	9486991,9488934,9489637,9490202,9490732,9491343,	9487099,9489020,9489764,9490295,9490815,9493293,	0	ZNF177	cmpl	cmpl	-1,0,0,1,1,0,
657	NM_001271314	chr19	-	9523101	9546254	9523950	9529214	11	9523101,9526329,9528503,9529180,9529441,9529726,9530740,9544740,9545473,9545783,9545959,	9525396,9526418,9528584,9529307,9529571,9529975,9530894,9544911,9545535,9545869,9546254,	0	ZNF266	cmpl	cmpl	0,1,1,0,-1,-1,-1,-1,-1,-1,-1,
657	NM_006631	chr19	-	9523101	9546254	9523950	9529214	11	9523101,9526329,9528503,9529180,9529437,9529726,9530740,9544343,9544750,9545783,9545959,	9525396,9526418,9528584,9529307,9529571,9529975,9530894,9544462,9544911,9545869,9546254,	0	ZNF266	cmpl	cmpl	0,1,1,0,-1,-1,-1,-1,-1,-1,-1,
658	NM_001318055	chr19	-	9633899	9649321	9639055	9641735	7	9633899,9641660,9643520,9645863,9646883,9648934,9649250,	9640312,9641743,9643601,9645955,9647032,9649021,9649321,	0	ZNF426	cmpl	cmpl	0,0,-1,-1,-1,-1,-1,
658	NM_024106	chr19	-	9633899	9649321	9639055	9646908	8	9633899,9641660,9643520,9644515,9645863,9646883,9648934,9649250,	9640312,9641743,9643601,9644642,9645955,9647032,9649021,9649321,	0	ZNF426	cmpl	cmpl	0,1,1,0,1,0,-1,-1,
658	NR_134920	chr19	+	9649341	9650406	9650406	9650406	2	9649341,9649811,	9649674,9650406,	0	LOC101928238	unk	unk	-2
658	NR_134921	chr19	+	9649341	9650406	9650406	9650406	2	9649341,9650081,	9649674,9650406,	0	LOC101928238	unk	unk	-2
658	NM_001308269	chr19	-	9676403	9695209	9676615	9678326	5	9676403,9678323,9678770,9679677,9695136,	9677785,9678381,9678851,9679758,9695209,	0	ZNF121	cmpl	cmpl	0,0,-1,-1,-1,
658	NM_152476	chr19	-	9577030	9609279	9577249	9585989	10	9577030,9579780,9580305,9581067,9581971,9583854,9584874,9585959,9608803,9609213,	9579010,9579863,9580386,9581194,9582054,9583935,9585001,9586045,9608891,9609279,	0	ZNF560	cmpl	cmpl	0,1,1,0,1,1,0,0,-1,-1,
658	NM_001300883	chr19	-	9633899	9649321	9639055	9646886	6	9633899,9641660,9643520,9644515,9646883,9648934,	9640312,9641743,9643601,9644642,9647032,9649321,	0	ZNF426	cmpl	cmpl	0,1,1,0,0,-1,
658	NM_001318056	chr19	-	9633899	9649321	9640280	9646908	7	9633899,9643520,9644515,9645863,9646883,9648934,9649250,	9640312,9643601,9644642,9645955,9647032,9649021,9649321,	0	ZNF426	cmpl	cmpl	1,1,0,1,0,-1,-1,
658	NM_001008727	chr19	-	9676403	9695209	9676615	9678773	4	9676403,9678770,9679677,9695136,	9677785,9678851,9679758,9695209,	0	ZNF121	cmpl	cmpl	0,0,-1,-1,
659	NM_152289	chr19	-	9718001	9731916	9720875	9730132	6	9718001,9724696,9727720,9728766,9730107,9731837,	9722012,9724779,9727847,9728855,9730258,9731916,	0	ZNF561	cmpl	cmpl	0,1,0,1,0,-1,
659	NR_122038	chr19	+	9732157	9745538	9745538	9745538	4	9732157,9737459,9742903,9744135,	9732321,9737536,9743093,9745538,	0	ZNF561-AS1	unk	unk	-4
659	NM_017656	chr19	-	9759337	9785776	9763624	9771420	4	9759337,9767222,9771395,9785690,	9764557,9767329,9771550,9785776,	0	ZNF562	cmpl	cmpl	0,1,0,-1,
659	NM_001300885	chr19	-	9759337	9785776	9763624	9771420	6	9759337,9767222,9768684,9770054,9771395,9785690,	9764554,9767329,9768811,9770143,9771550,9785776,	0	ZNF562	cmpl	cmpl	0,1,0,1,0,-1,
659	NM_001130032	chr19	-	9759337	9785776	9763624	9771420	6	9759337,9767222,9768684,9770054,9771395,9785690,	9764557,9767329,9768811,9770143,9771497,9785776,	0	ZNF562	cmpl	cmpl	0,1,0,1,0,-1,
659	NM_001130031	chr19	-	9759337	9785776	9763624	9771420	6	9759337,9767222,9768684,9770054,9771395,9785690,	9764557,9767329,9768811,9770143,9771550,9785776,	0	ZNF562	cmpl	cmpl	0,1,0,1,0,-1,
660	NM_001316938	chr19	-	9920942	9929779	9921571	9922393	4	9920942,9923906,9929220,9929403,	9922393,9923950,9929293,9929779,	0	FBXL12	cmpl	cmpl	0,-1,-1,-1,
660	NM_001316937	chr19	-	9920942	9929779	9921571	9922393	3	9920942,9929220,9929429,	9922393,9929293,9929779,	0	FBXL12	cmpl	cmpl	0,-1,-1,
660	NM_001316936	chr19	-	9920942	9929779	9921571	9929489	2	9920942,9929429,	9922393,9929779,	0	FBXL12	cmpl	cmpl	0,0,
